|max depth|min instances per node|testing f1|testing accuracy|best model
0|2.0|1.0|0.7066833258518109|0.7967952106125847|0.0
1|2.0|2.0|0.7066833258518109|0.7967952106125847|0.0
2|2.0|3.0|0.7066833258518109|0.7967952106125847|0.0
3|2.0|4.0|0.7066833258518109|0.7967952106125847|0.0
4|2.0|5.0|0.7066833258518109|0.7967952106125847|0.0
5|2.0|6.0|0.7066833258518109|0.7967952106125847|0.0
6|3.0|1.0|0.7066833258518109|0.7967952106125847|0.0
7|3.0|2.0|0.7066833258518109|0.7967952106125847|0.0
8|3.0|3.0|0.7066833258518109|0.7967952106125847|0.0
9|3.0|4.0|0.7066833258518109|0.7967952106125847|0.0
10|3.0|5.0|0.7066833258518109|0.7967952106125847|0.0
11|3.0|6.0|0.7066833258518109|0.7967952106125847|0.0
12|4.0|1.0|0.7066833258518109|0.7967952106125847|0.0
13|4.0|2.0|0.7066833258518109|0.7967952106125847|0.0
14|4.0|3.0|0.7066833258518109|0.7967952106125847|0.0
15|4.0|4.0|0.7066833258518109|0.7967952106125847|0.0
16|4.0|5.0|0.7066833258518109|0.7967952106125847|0.0
17|4.0|6.0|0.7066833258518109|0.7967952106125847|0.0
18|5.0|1.0|0.7066940456579268|0.7967984172190492|0.0
19|5.0|2.0|0.7066940456579268|0.7967984172190492|0.0
20|5.0|3.0|0.7066940456579268|0.7967984172190492|0.0
21|5.0|4.0|0.7069625253240144|0.7968828578559454|0.0
22|5.0|5.0|0.7069625253240144|0.7968828578559454|0.0
23|5.0|6.0|0.7069625253240144|0.7968828578559454|0.0
24|6.0|1.0|0.7118650400147434|0.7983434671004849|0.0
25|6.0|2.0|0.7118650400147434|0.7983434671004849|0.0
26|6.0|3.0|0.7120158290157298|0.7984102714018269|0.0
27|6.0|4.0|0.7098939255378387|0.7977892586165524|0.0
28|6.0|5.0|0.7098939255378387|0.7977892586165524|0.0
29|6.0|6.0|0.7098939255378387|0.7977892586165524|0.0
30|7.0|1.0|0.7211527569433217|0.8009947962121426|0.0
31|7.0|2.0|0.7211539427525829|0.8009953306465534|0.0
32|7.0|3.0|0.7240730657478904|0.8018450813596225|0.0
33|7.0|4.0|0.7195405892787796|0.8005346481844996|0.0
34|7.0|5.0|0.7253370738876316|0.8022133066686191|0.0
35|7.0|6.0|0.7253339203037941|0.8022122377997977|0.0
36|8.0|1.0|0.7312662651667704|0.8040330558371728|0.0
37|8.0|2.0|0.7361173420637449|0.8053482989219923|0.0
38|8.0|3.0|0.7327964368626821|0.8044531212840107|0.0
39|8.0|4.0|0.7373021864561506|0.8057795874914557|0.0
40|8.0|5.0|0.7359245506197782|0.8056192571682351|0.0
41|8.0|6.0|0.7370134062370626|0.8058421163175118|0.0
42|9.0|1.0|0.7457900601282323|0.8086783597352839|0.0
43|9.0|2.0|0.7551621859126818|0.8110720914609674|0.0
44|9.0|3.0|0.7440935788554915|0.8082652419357855|0.0
45|9.0|4.0|0.7574134850448412|0.8117561675067085|0.0
46|9.0|5.0|0.7577280699734724|0.8120052139421111|1.0
47|9.0|6.0|0.753135269203294|0.8111469122784702|0.0
