|max depth|min instances per node|testing f1|testing accuracy|best model
0|6.0|1.0|0.7074540506785869|0.7969753150090025|0.0
1|6.0|2.0|0.7074540506785869|0.7969753150090025|0.0
2|6.0|3.0|0.7074540506785869|0.7969753150090025|0.0
3|6.0|4.0|0.7074540506785869|0.7969753150090025|0.0
4|6.0|5.0|0.7074540506785869|0.7969753150090025|0.0
5|6.0|6.0|0.7074540506785869|0.7969753150090025|0.0
6|7.0|1.0|0.764969531735978|0.8015308339261101|0.0
7|7.0|2.0|0.764969531735978|0.8015308339261101|0.0
8|7.0|3.0|0.7649698094761723|0.8015313683605209|0.0
9|7.0|4.0|0.7649698094761723|0.8015313683605209|0.0
10|7.0|5.0|0.7649690049103129|0.8015308339261101|0.0
11|7.0|6.0|0.7649690049103129|0.8015308339261101|0.0
12|8.0|1.0|0.7941800598908684|0.8116193522975602|0.0
13|8.0|2.0|0.7941798445583772|0.8116193522975602|0.0
14|8.0|3.0|0.794179059363422|0.8116193522975602|0.0
15|8.0|4.0|0.794179059363422|0.8116193522975602|0.0
16|8.0|5.0|0.7941784116064085|0.8116188178631495|0.0
17|8.0|6.0|0.7941784116064085|0.8116188178631495|0.0
18|9.0|1.0|0.7966040881117448|0.8161497527973633|0.0
19|9.0|2.0|0.7966029811030684|0.8161492183629526|0.0
20|9.0|3.0|0.7966066428170139|0.8161513561005955|1.0
21|9.0|4.0|0.7966052245800007|0.8161497527973633|0.0
22|9.0|5.0|0.7966039988433825|0.8161502872317741|0.0
23|9.0|6.0|0.7966039988433825|0.8161502872317741|0.0
